"datetime","temp_in_degrees_c","magnitude_in_kohm","battery_in_percent","solar_in_percent"
2021-06-02 00:09:32,16.5,411.96,100,0
2021-06-02 00:09:48,16.5,411.96,100,0
2021-06-02 00:24:49,15.9,63.862,100,0
2021-06-02 00:40:07,15.5,50.42,100,0
2021-06-02 00:55:24,15.3,13.538,100,0
2021-06-02 01:10:42,14.9,15.062,100,0
2021-06-02 01:26:00,14.7,16.047,100,0
2021-06-02 01:41:18,14.6,16.189,100,0
2021-06-02 01:56:37,14.2,701.971,100,0
2021-06-02 02:11:54,14.1,14.921,100,0
2021-06-02 02:27:11,13.8,13.885,100,0
2021-06-02 02:42:30,13.5,128.899,100,0
2021-06-02 02:57:48,13.3,25.105,100,0
2021-06-02 03:13:05,13.2,13.928,100,0
2021-06-02 03:43:41,12.9,15.864,100,0
2021-06-02 03:58:59,12.6,14.875,100,0
2021-06-02 04:14:17,12.4,15.145,100,0
2021-06-02 04:29:35,12.2,15.253,100,0
2021-06-02 04:44:53,12,14.622,100,2
2021-06-02 05:00:11,12.1,14.028,100,12
2021-06-02 05:15:29,11.9,14.201,100,36
2021-06-02 05:30:47,11.9,14.234,100,11
2021-06-02 05:46:04,11.7,16.639,100,33
2021-06-02 06:01:22,11.8,14.263,100,59
2021-06-02 06:31:58,11.8,14.478,100,42
2021-06-02 06:47:16,11.8,14.489,100,60
2021-06-02 07:17:52,12.1,14.527,100,7
2021-06-02 07:18:08,12.1,14.527,100,7
2021-06-02 07:33:10,12.1,14.516,100,15
2021-06-02 07:48:28,12.5,14.355,100,18
2021-06-02 08:19:04,14.4,14.25,100,36
2021-06-02 08:34:21,14.9,14.142,100,38
