"datetime","temp_in_degrees_c","magnitude_in_kohm","battery_in_percent","solar_in_percent"
2021-05-12 10:44:40,15.7,17.445,100,21
2021-05-12 10:59:59,15.5,17.267,100,19
2021-05-12 11:15:19,15.5,17.097,100,19
2021-05-12 11:30:38,15.6,16.977,100,30
2021-05-12 12:01:18,15.8,16.746,100,19
2021-05-12 12:16:37,15.8,16.837,100,17
2021-05-12 12:31:57,15.8,16.886,100,27
2021-05-12 12:47:16,15.7,17.081,100,25
2021-05-12 13:02:36,15.8,17.265,100,24
2021-05-12 13:17:56,15.7,17.357,100,19
2021-05-12 13:33:15,15.6,17.358,100,22
2021-05-12 13:48:35,15.7,17.359,100,21
2021-05-12 14:03:54,15.5,17.358,100,17
2021-05-12 14:19:14,15.6,17.301,100,24
2021-05-12 14:34:34,15.7,17.214,100,20
2021-05-12 14:49:53,15.5,17.112,100,16
2021-05-12 15:05:13,15.8,16.979,100,24
2021-05-12 15:20:33,15.8,16.897,100,28
2021-05-12 15:51:12,15.9,16.805,100,17
2021-05-12 16:06:32,15.9,16.786,100,20
2021-05-12 16:21:51,15.7,16.747,100,20
2021-05-13 12:50:32,16.8,16.024,100,15
2021-05-13 13:05:51,18.2,15.797,100,32
2021-05-13 13:21:11,18.4,15.627,100,21
2021-05-13 13:36:31,19.5,15.389,100,45
2021-05-13 13:36:47,19.5,15.389,100,45
2021-05-13 13:51:50,18.3,15.671,100,35
2021-05-13 14:07:10,16.9,15.948,100,31
2021-05-13 14:22:30,16.1,16.045,100,22
2021-05-13 14:37:49,15.7,16.217,100,24
2021-05-13 14:53:09,15.7,16.374,100,26
2021-05-13 15:08:29,15.6,16.464,100,26
2021-05-13 15:23:49,15.7,16.528,100,26
2021-05-13 15:39:09,15.5,16.509,100,30
2021-05-13 15:54:29,15.7,16.347,100,34
2021-05-13 16:09:48,15.7,16.243,100,34
2021-05-13 16:25:08,16,16.197,100,36
2021-05-13 16:40:28,16.3,16.085,100,39
2021-05-13 16:55:47,17.7,15.873,100,45
2021-05-13 17:11:07,18.7,15.752,100,43
2021-05-13 17:26:26,16.8,16.018,100,15
2021-05-13 17:41:46,15.7,16.246,100,22
2021-05-13 17:57:06,15.9,16.352,100,27
2021-05-13 18:12:26,15.7,16.354,100,30
2021-05-13 18:27:45,15.7,16.304,100,26
2021-05-13 18:43:05,15.6,16.236,100,23
2021-05-13 18:58:25,15.6,16.369,100,16
2021-05-13 19:13:44,15.6,16.435,100,4
2021-05-13 19:29:04,15.7,16.511,100,48
2021-05-13 19:44:24,15.3,16.734,100,33
2021-05-13 19:59:43,15.3,16.877,100,21
2021-05-13 20:15:03,15,17.04,100,9
2021-05-13 20:45:42,14.6,17.216,100,35
2021-05-13 21:01:02,14.4,17.373,100,12
2021-05-13 21:16:21,13.9,17.493,100,4
2021-05-13 21:16:38,13.9,17.493,100,4
2021-05-13 21:31:41,13.5,17.613,100,0
2021-05-13 21:47:01,13.3,17.643,100,0
2021-05-13 22:02:21,13,17.792,100,0
2021-05-13 22:17:40,12.8,17.847,100,0
2021-05-13 22:17:56,12.8,17.847,100,0
2021-05-13 22:33:00,13,17.74,100,0
2021-05-13 22:48:19,12.9,17.727,100,0
2021-05-13 23:03:39,12.9,17.785,100,0
2021-05-14 00:04:59,12,18.13,100,0
2021-05-14 00:20:18,12.1,18.118,100,0
2021-05-14 00:35:37,12.1,18.176,100,0
2021-05-14 00:50:57,12,18.271,100,0
2021-05-14 01:06:16,12,18.271,100,0
2021-05-14 01:21:36,11.8,18.283,100,0
2021-05-14 01:52:15,11.6,18.464,100,0
2021-05-14 02:07:35,11.6,18.437,100,0
2021-05-14 02:22:54,11.5,18.43,100,0
2021-05-14 02:38:14,11.5,18.414,100,0
2021-05-14 02:53:34,11.5,18.41,100,0
2021-05-14 03:08:53,11.5,18.417,100,0
2021-05-14 03:24:13,11.3,18.45,100,0
2021-05-14 03:39:33,11.3,18.448,100,0
2021-05-14 03:54:52,11.1,18.542,100,0
2021-05-14 04:10:12,10.9,18.604,100,0
2021-05-14 04:25:32,10.7,18.64,100,0
2021-05-14 04:40:51,10.5,18.774,100,0
2021-05-14 04:56:11,10.4,18.9,100,0
2021-05-14 05:11:31,10.3,18.923,100,1
2021-05-14 05:26:50,10.1,18.967,100,10
2021-05-14 05:42:10,10.1,19.027,100,53
2021-05-14 05:57:30,10.1,18.99,100,17
2021-05-14 06:12:49,10.2,19.038,100,54
2021-05-14 06:28:09,10.2,18.988,100,63
