"datetime","temp_in_degrees_c","magnitude_in_kohm","battery_in_percent","solar_in_percent"
2021-05-12 11:23:55,18.1,9.432,79,13
2021-05-12 11:24:11,18.1,9.432,79,13
2021-05-12 11:39:19,17.9,9.487,79,8
2021-05-12 11:54:44,18.2,9.475,81,9
2021-05-12 12:10:08,18.5,9.459,80,10
2021-05-12 12:25:33,18.3,9.552,81,9
2021-05-12 12:40:57,17.9,9.557,81,9
2021-05-12 12:56:22,17.5,9.607,80,11
2021-05-12 13:11:46,17.6,9.591,81,6
2021-05-12 13:27:11,17.3,9.619,80,7
2021-05-12 13:42:35,17.3,9.605,81,9
2021-05-12 13:58:00,17.1,9.586,81,6
2021-05-12 14:13:24,17,9.615,81,6
2021-05-12 14:28:49,17.3,9.609,81,8
2021-05-12 14:44:13,17.7,9.564,81,8
2021-05-12 14:59:38,17.8,9.528,82,9
2021-05-12 15:15:02,17.9,9.519,82,7
2021-05-12 15:30:27,18.1,9.461,82,9
2021-05-12 15:45:51,18.2,9.422,81,8
2021-05-12 16:01:16,18.1,9.448,82,7
2021-05-12 16:16:40,18.3,9.401,82,10
2021-05-13 12:52:03,19.3,8.732,86,19
2021-05-13 13:07:28,20.4,8.668,87,40
2021-05-13 13:22:52,21.2,8.584,86,15
2021-05-13 13:38:17,21.1,8.563,86,12
2021-05-13 13:53:41,20.2,8.646,86,11
2021-05-13 14:09:06,19.6,8.684,86,9
2021-05-13 14:24:31,19,8.721,86,8
2021-05-13 14:39:55,18.3,8.808,86,8
2021-05-13 15:10:45,17.9,8.878,86,9
2021-05-13 15:26:09,18,8.93,86,8
2021-05-13 15:41:34,17.8,8.921,86,8
2021-05-13 15:56:58,18,8.887,86,9
2021-05-13 16:12:23,18.4,8.855,86,12
2021-05-13 16:27:48,18.8,8.828,87,9
2021-05-13 16:43:12,19.1,8.78,87,13
2021-05-13 16:58:37,19.6,8.73,87,13
2021-05-13 17:14:02,20.4,8.65,87,10
2021-05-13 17:29:26,19.7,8.651,86,7
2021-05-13 17:44:50,18.9,8.69,87,8
2021-05-13 18:15:40,18.6,8.717,87,13
2021-05-13 18:31:04,18.5,8.729,86,9
2021-05-13 18:46:28,18.3,8.771,87,7
2021-05-13 19:01:53,18.2,8.781,87,7
2021-05-13 19:17:17,17.9,8.792,86,6
2021-05-13 19:32:42,17.6,8.819,86,56
2021-05-13 19:48:07,17,8.952,87,45
2021-05-13 20:18:57,16.1,9.032,86,27
2021-05-13 20:34:21,15.7,8.959,87,6
2021-05-13 20:49:46,15.2,15.391,86,44
2021-05-13 21:05:10,14.7,9.013,86,16
2021-05-13 21:20:35,14.4,9.089,86,5
2021-05-13 21:36:00,14.3,9.069,86,0
2021-05-13 21:51:25,14.3,9.04,86,0
2021-05-13 22:06:49,13.8,9.101,86,0
2021-05-13 22:22:15,14,9.06,86,0
2021-05-13 22:37:38,13.9,9.052,86,0
2021-05-13 22:53:03,13.9,9.01,85,0
2021-05-13 23:08:27,13.8,9.029,86,0
2021-05-14 00:10:06,13.1,9.054,85,0
2021-05-14 00:25:32,12.9,9.064,86,0
2021-05-14 00:56:21,12.7,9.094,85,0
2021-05-14 01:11:45,12.6,9.101,85,0
2021-05-14 01:27:10,12.5,9.102,86,0
2021-05-14 01:42:34,12.2,9.088,85,0
2021-05-14 01:57:59,12.3,9.117,85,0
2021-05-14 02:13:24,12.3,9.134,86,0
2021-05-14 02:28:48,12.2,9.139,85,0
2021-05-14 02:44:13,12.1,9.148,85,0
2021-05-14 02:59:38,12.2,9.122,86,0
2021-05-14 03:15:03,12.2,9.168,85,0
2021-05-14 03:30:27,12.2,9.142,85,0
2021-05-14 03:45:52,12,9.158,86,0
2021-05-14 04:01:17,11.9,9.171,85,0
2021-05-14 04:16:41,11.6,9.185,86,0
2021-05-14 04:32:06,11.6,9.203,85,0
2021-05-14 04:47:31,11.3,9.262,85,0
2021-05-14 05:18:21,10.9,9.327,85,6
2021-05-14 05:33:45,10.9,9.337,85,32
2021-05-14 06:04:35,10.8,9.357,86,51
2021-05-14 06:04:50,10.8,9.357,86,51
2021-05-14 06:19:59,10.9,9.384,86,1
2021-05-14 06:35:24,10.7,9.372,86,6
2021-05-14 06:50:49,10.8,9.408,86,6
2021-05-14 07:06:14,10.8,9.367,86,7
2021-05-14 07:21:39,11.1,9.36,86,8
2021-05-14 07:37:03,11.2,9.302,86,10
2021-05-14 07:52:28,11.7,9.241,87,10
2021-05-14 08:07:53,12.1,9.177,86,8
2021-05-14 08:23:17,12.5,9.111,87,10
2021-05-14 08:38:42,12.8,9.038,87,9
2021-05-14 08:38:58,12.8,9.038,87,9
2021-05-14 08:54:07,12.7,9.04,86,8
2021-05-14 09:09:31,13.3,8.982,87,12
2021-05-14 09:24:56,13.8,9.172,87,11
2021-05-14 09:40:21,14.1,8.964,87,10
2021-05-14 09:55:45,14.9,11.74,87,14
2021-05-14 10:11:10,15.4,8.89,87,15
2021-05-14 10:26:35,15.7,8.844,87,9
2021-05-14 10:41:59,16.1,8.839,87,14
2021-05-14 10:44:33,16.2,8.855,87,17
2021-05-14 12:01:37,18.3,8.68,88,10
2021-05-14 12:32:26,17.4,8.765,88,12
2021-05-14 12:32:41,17.4,8.765,88,12
2021-05-14 12:47:50,17.1,8.804,88,10
2021-05-14 13:03:15,17.1,8.829,88,15
2021-05-14 13:18:40,17.9,8.725,88,20
2021-05-14 13:49:29,19,8.607,89,10
2021-05-14 14:04:53,18.4,8.68,88,11
2021-05-14 14:20:18,18.3,8.685,88,18
2021-05-14 14:35:42,18.6,8.653,89,10
2021-05-14 14:51:07,18.1,8.729,89,10
2021-05-14 15:06:32,18,8.758,89,12
2021-05-14 15:37:21,18.6,8.72,88,8
2021-05-14 15:37:37,18.6,8.72,88,8
2021-05-14 15:52:46,18.9,8.683,89,12
2021-05-14 16:08:10,19.6,8.577,89,10
2021-05-14 16:23:35,20.4,8.439,89,10
2021-05-14 16:38:59,20,8.429,90,25
2021-05-14 16:54:24,20.5,8.409,89,10
2021-05-14 17:09:49,19.2,8.524,89,8
2021-05-14 17:25:13,18.9,8.569,89,9
2021-05-14 17:40:38,18.4,8.616,88,8
2021-05-14 17:56:02,18.3,8.617,89,8
2021-05-14 18:11:27,17.9,8.648,89,7
2021-05-14 18:11:43,17.9,8.648,89,7
2021-05-14 18:26:52,16.3,8.875,89,7
2021-05-14 18:42:16,15,8.972,89,10
2021-05-14 19:13:06,16.8,8.7,89,12
2021-05-14 19:28:30,18.5,8.346,89,11
2021-05-15 06:00:28,8.8,9.645,88,55
2021-05-15 06:15:52,9.1,9.624,88,55
2021-05-15 06:31:17,9.3,9.606,88,62
2021-05-15 06:46:42,9.2,9.57,88,6
2021-05-15 07:02:07,9.3,9.586,89,3
2021-05-15 07:17:31,9.3,9.551,89,7
2021-05-15 07:17:47,9.3,9.551,89,7
2021-05-15 07:32:56,9.5,9.539,88,8
2021-05-15 07:48:21,9.8,9.514,88,7
2021-05-15 08:03:46,9.8,9.499,89,10
2021-05-15 08:19:11,10,9.516,88,7
2021-05-15 08:34:36,9.9,9.502,88,6
2021-05-15 09:05:25,9.9,9.649,89,8
2021-05-15 09:20:50,10,9.612,89,9
2021-05-15 09:36:15,10.2,9.393,89,8
2021-05-15 09:51:39,10.2,9.401,88,8
2021-05-15 09:51:55,10.2,9.401,88,8
2021-05-15 10:07:04,10.1,9.378,89,9
2021-05-15 10:22:29,10.1,9.659,89,14
2021-05-15 10:37:54,10.8,9.305,89,14
2021-05-15 10:53:19,11.4,9.151,90,12
2021-05-15 11:08:44,11.7,9.079,89,10
2021-05-15 11:24:08,12.3,8.94,90,17
2021-05-15 11:26:42,12.3,8.961,90,21
2021-05-15 11:42:07,13.4,8.863,91,10
2021-05-15 11:57:32,13.4,8.897,91,11
