"","datetime","temp_in_degrees_c","magnitude_in_kohm","battery_in_percent","solar_in_percent","tree_id"
"1",2021-03-04,24.9314285714286,4.87025714285714,79.1428571428571,8.51428571428571,"BSF_1"
"2",2021-03-05,19.7708333333333,3.59304924242424,79.0189393939394,9.08712121212121,"BSF_1"
"3",2021-03-06,19.9926573426573,10.9187727272727,78.8129370629371,8.71153846153846,"BSF_1"
"4",2021-03-07,19.8157142857143,9.42672678571429,79.8232142857143,8.02678571428571,"BSF_1"
"5",2021-03-08,19.7800546448088,3.98757377049181,79.8551912568306,8.96448087431694,"BSF_1"
"6",2021-03-29,18.3519230769231,35.9072115384615,100,16.3365384615385,"BSF_1"
"7",2021-03-30,14.086690647482,33.6368165467626,100,17.8705035971223,"BSF_1"
"8",2021-03-31,15.3713793103448,50.0989862068966,100,18.3275862068966,"BSF_1"
"9",2021-04-01,14.8386075949367,30.891917721519,100,17.0411392405063,"BSF_1"
"10",2021-04-02,8.11947368421053,39.1714157894736,100,20.3921052631579,"BSF_1"
"11",2021-04-03,7.82949852507375,60.8259764011799,100,25.3716814159292,"BSF_1"
"12",2021-04-04,6.01830985915493,76.5832147887324,100,19.669014084507,"BSF_1"
"13",2021-04-05,2.33846153846154,45.4108547008547,100,18.3589743589744,"BSF_1"
"14",2021-04-06,2.16964285714286,32.9761428571429,100,21.8290816326531,"BSF_1"
"15",2021-04-07,1.35848563968668,37.6857911227154,100,22.0783289817232,"BSF_1"
"16",2021-04-08,3.87564766839378,33.4014404145078,100,23.4766839378238,"BSF_1"
"17",2021-04-09,5.94232209737827,46.3418876404494,100,19.5430711610487,"BSF_1"
"18",2021-04-10,7.47984496124031,109.081263565891,100,18.1705426356589,"BSF_1"
"19",2021-04-11,6.73880597014925,90.6074651741293,100,14.589552238806,"BSF_1"
"20",2021-04-12,4.22699228791774,114.86646529563,99.7892030848329,21.8226221079692,"BSF_1"
"21",2021-04-13,3.91140776699029,24.1475169902913,100,24.4466019417476,"BSF_1"
"22",2021-04-14,4.04439024390244,23.6735731707317,100,24.1439024390244,"BSF_1"
"23",2021-04-15,4.14975490196078,24.1120661764706,100,24.3995098039216,"BSF_1"
"24",2021-04-16,5.89362416107383,21.2087751677852,100,24.3590604026846,"BSF_1"
"25",2021-04-19,11.6239130434783,16.8260478260869,100,29.4739130434783,"BSF_1"
"26",2021-04-20,11.5265091863517,17.7311023622047,100,22.3937007874016,"BSF_1"
"27",2021-04-21,13.2363924050633,16.5395506329114,100,23.8101265822785,"BSF_1"
"28",2021-04-22,9.02364532019704,18.9177881773399,100,24.8054187192118,"BSF_1"
"29",2021-04-23,11.2872403560831,17.9810207715134,100,28.4480712166172,"BSF_1"
"30",2021-04-24,10.2875,17.8654389534884,100,28.7209302325581,"BSF_1"
"31",2021-04-25,8.09975669099757,18.9144087591241,100,26.4160583941606,"BSF_1"
"32",2021-04-26,8.31683168316832,19.4931905940594,100,24.7772277227723,"BSF_1"
"33",2021-04-27,10.4481572481572,17.5673759213759,100,25.034398034398,"BSF_1"
"34",2021-04-28,14.0579381443299,19.5768680412371,93.0865979381443,24.8515463917526,"BSF_1"
"35",2021-04-29,9.83962703962703,18.2466060606061,88.5361305361305,18.1631701631702,"BSF_1"
"36",2021-04-30,8.83375527426161,19.4168438818566,88.3333333333333,24.7151898734177,"BSF_1"
"37",2021-05-01,9.9125,18.3065681818182,88.0113636363636,9.13636363636364,"BSF_1"
"38",2021-05-02,8.31988950276243,19.3600534069981,88.2615101289134,24.670349907919,"BSF_1"
"39",2021-05-03,9.61386138613862,19.3031346534654,88.2475247524752,29.5584158415842,"BSF_1"
"40",2021-05-05,6.8296875,20.547115625,87.784375,31.628125,"BSF_1"
"41",2021-05-06,7.62171945701357,20.329092760181,87.8054298642534,24.6628959276018,"BSF_1"
"42",2021-05-07,7.12979890310786,31.5992595978062,87.6617915904936,26.1755027422303,"BSF_1"
"43",2021-05-08,9.71640316205534,34.3511482213439,86.2549407114625,24.7490118577075,"BSF_1"
"44",2021-05-09,21.0235404896422,29.0294143126177,87.3032015065913,22.0941619585687,"BSF_1"
"45",2021-05-10,18.2195340501792,17.021252688172,87.5071684587814,17.6326164874552,"BSF_1"
"46",2021-05-11,14.4500924214418,138.383606284658,87.5249537892791,18.1663585951941,"BSF_1"
"47",2021-05-12,14.5732394366197,23.5298045774648,87.8133802816901,21.0457746478873,"BSF_1"
"48",2021-05-13,14.5169491525424,21.3735796610169,88,22.0389830508475,"BSF_1"
"49",2021-05-14,14.7211650485437,22.7880893203883,88.9495145631068,23.6252427184466,"BSF_1"
"50",2021-05-15,11.7423664122137,74.035748091603,88.7099236641221,30.5114503816794,"BSF_1"
"51",2021-05-16,12.5778325123153,113.551640394089,91.9458128078818,30.7093596059113,"BSF_1"
"52",2021-05-17,12.3088397790055,97.8642513812155,93.8314917127072,25.560773480663,"BSF_1"
"53",2021-05-18,10.8940170940171,123.536247863248,91.2286324786325,24.5726495726496,"BSF_1"
"54",2021-05-19,12.1723404255319,95.6588244680852,91.6835106382979,30.5478723404255,"BSF_1"
"55",2021-05-20,16.0014598540146,57.0491605839416,98.456204379562,26.6240875912409,"BSF_1"
"56",2021-05-21,14.7153696498055,46.8134241245136,94.8229571984436,21.5077821011673,"BSF_1"
"57",2021-05-22,10.5137755102041,55.5220306122449,98.0765306122449,17.719387755102,"BSF_1"
"58",2021-05-23,11.5432642487047,68.2919119170985,100,17.9896373056995,"BSF_1"
"59",2021-05-24,12.6534042553192,69.1908361702127,99.0808510638298,17.3723404255319,"BSF_1"
